Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags
DME_Jun,b'DME Intelligence',8/17/2019 5:24,"b""RT @HeartIn_net: This woman implanted her Tesla Model 3's valet key into her arm  #fitness #health #training #healthy #healthylifestyle #ca\xe2\x80\xa6""","b'Boston, MA'",1,b'DME Intelligence_Jun', fitness health training healthy healthylifestyle
DME_Jun,b'DME Intelligence',8/17/2019 5:10,b'RT @HeartIn_net: How people are actually using heart rate monitors on their wearables \n\n // #fitness #health #training #healthy #healthylif\xe2\x80\xa6',"b'Boston, MA'",2,b'DME Intelligence_Jun', fitness health training healthy
GamerGeekNews,b'Gamer Geek',8/17/2019 5:10,b'RT @HeartIn_net: How people are actually using heart rate monitors on their wearables \n\n // #fitness #health #training #healthy #healthylif\xe2\x80\xa6',b'',2,b'GGN_RPiTwitterFeed', fitness health training healthy
DME_Jun,b'DME Intelligence',8/17/2019 5:10,"b'RT @HeartIn_net: Flexible Pump Breakthrough for Soft Robotics to Advance Artificial Muscles, Assistive Technology  #Ge #fitness #health #tr\xe2\x80\xa6'","b'Boston, MA'",1,b'DME Intelligence_Jun', Ge fitness health
CeoAwareness,b'CEO Tech Awareness',8/16/2019 21:42,b'RT @THEAdamGabriel: #RT @MikeQuindazzi: RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #\xe2\x80\xa6',b'',4,b'Twitter Web App', RT digital talent enterprise
AYCLearnDigital,b'All You Can Learn Digital',8/16/2019 17:53,b'RT @THEAdamGabriel: #RT @MikeQuindazzi: RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #\xe2\x80\xa6',b'Internet',4,b'Twitter Web App', RT digital talent enterprise
MasterMartech,b'Martech Master',8/16/2019 15:07,b'RT @THEAdamGabriel: #RT @MikeQuindazzi: RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #\xe2\x80\xa6',b'',4,b'Twitter Web App', RT digital talent enterprise
IotMore,b'IoT and More',8/16/2019 14:49,b'RT @THEAdamGabriel: #RT @MikeQuindazzi: RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #\xe2\x80\xa6',b'Here',4,b'Twitter Web App', RT digital talent enterprise
THEAdamGabriel,"b'Adam Gabriel, #TOP\xf0\x9f\x94\x9d #Influencer\xf0\x9f\x93\xa1'",8/16/2019 14:21,b'#RT @MikeQuindazzi: RT @MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #futureofwork #4IR #digitaltransformation #robotics #datascience #dataanalytics &gt;&gt;&gt; https://t.co/80Uo1ghEmI https://t.co/BUfSjXGVXk',"b'Financial District, Manhattan'",4,b'IFTTT', RT digital talent enterprise ai machinelearning iot futureofwork 4IR digitaltransformation robotics datascience dataanalytics
TheDysket,b'Youn\xc3\xa8s.D',8/16/2019 13:58,b'RT @claudiomkd: RT MikeQuindazzi: 4 steps to #digital upskill #talent in the #enterprise &gt;&gt;&gt; MikeQuindazzi &gt;&gt;&gt;  #ai #machinelearning #iot #\xe2\x80\xa6',b'Paris',1,b'Netvibes Widget', digital talent enterprise ai machinelearning iot
