User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
Prajwal Patil,7/21/2019 5:09, eagerly awaiting for the launch ! chandrayaan2,"Bengaluru, India",0,0.0,0.0
Mohd Mansoor Alam,7/21/2019 5:07,"tik tok mumbai celebrity, ajaz khan and many muslims are arrested over hate mongering. will these morons be arrested who are using religion to make their business bloom sheiladixitdies sheiladixitji apollo11 avengersendgame chandrayaan2 ajazkhan","Patna, India",0,-0.3666666666666667,0.7999999999999999
Donny,7/21/2019 5:05,i'm very proud to be an indian !! wish all the gods be with us today !! chandrayaan2 isro ,0xFFFFFFFF,0,1.0,1.0
🇮🇳 Rohit🚩,7/21/2019 5:04, and many are waiting for chandrayaan2 ,India,0,0.5,0.5
Sagar Khandelwal,7/21/2019 5:02,big day for today midnight chandrayaan2 ,India,0,0.0,0.1
Vivek Kulkarni,7/21/2019 5:02,best wishes ! eagerly waiting for tomorrow’s launch 🚀 chandrayaan2 ,MH 02 / MH 20,0,1.0,0.3
🇮🇳 Ajay Kushwaha 🇮🇳 🇮🇳 अजय कुशवाहा 🇮🇳,7/21/2019 4:54,"surprising! the cost of chandrayaan2 is far lower than big-budget hollywood movies like avengersendgame or the most expensive hollywood movie ever avatar. total cost: chandrayaan2 :: rs 978 crore avengers:: rs 2,443 crore avatar :: rs 3,282 crore ","Ghazipur , Kanpur, (UP) India",4,0.195,0.6900000000000001
Tech2,7/21/2019 4:48,"the one things that chandrayaan2 and its predecessor, chandrayaan-1 have in common – the orbiter. here's what makes the orbiter's mission &amp; instruments unique. chandrayaan2themoon ","Mumbai, India",1,0.037500000000000006,0.75
Tech2,7/21/2019 4:47,"the year began with a big announcement from about the rs 1000-crore chandrayaan2 project, the opening of a new human spaceflight centre &amp; interplanetary missions in store in the years to come. chandrayaan2themoon ","Mumbai, India",4,0.04545454545454545,0.21818181818181817
moneycontrol,7/21/2019 4:45,"chandrayaan2 | according to reports, the mission had to be postponed after a drop in pressure was detected after helium was filled into the tank. (via ",Mumbai,0,0.4,0.9
Nwztoday,7/21/2019 4:41,"news flash : india’s lander mission to moon chandrayaan2 all set to take off tomorrow afternoon, at 2.43 pm ntn ",nan,0,0.0,0.0
Nihal Kirnalli,7/21/2019 4:40,"why is this anti-rational, self-proclaimed scientifically religious guru allowed in mission center? isro should distance itself from such fake entities. chandrayaan2 | isro ","Solapur, Maharashtra ",14,-0.15,0.4625
Ketan Vyas,7/21/2019 4:35,"isro said it has completed the launch rehearsal of gslv mark iii-m1, the launch vehicle of chandrayaan2, and its performance is normal. chandrayaan2themoon is an indian lunarmission that will boldly go where no country has ever gone before.",Rajkot,0,0.24166666666666664,0.6583333333333332
DataBaaz,7/21/2019 4:32,here is a bit of history. india’s first lunar mission was chandrayaan-1 in 2008. it did not land on the lunar surface but found the presence of water on it. chandrayaan2 hopes to corroborate this with more evidence by exploring the shadowed south polar region of the moon. isro ,"Mumbai, India",2,0.2222222222222222,0.3611111111111111
newsblunt,7/21/2019 4:30,"india’s lander mission to moon chandrayaan2 all set to take off tomorrow afternoon, at 2.43 pm. ",India,0,0.0,0.0
