Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type
sujata_trivedi,सत्यमेव जयते# एक भारत श्रेष्ठ भारत,7/20/2019 15:12,@BJP4India #Chandrayaan2  is a very proud thing for India.,,0,Twitter for Android
satishMIRROR,satish nandgaonkar,7/20/2019 15:07,Beautiful video of Chandrayaan-2 and each stage of its journey... #Chandrayaan2 #chandrayaan2themoon https://t.co/Zik3qC6Sos,"Mumbai, India",1,Twitter for Android
FinancialXpress,Financial Express,7/20/2019 15:06,"#Chandrayaan2 : Here’s what Former President #APJ #AbdulKalam advised #ISRO scientists on lunar mission
 https://t.co/QsZhdZ2NfG","New Delhi, India",7,Twitter Web App
Devadarshan20,Devadarshan,7/20/2019 15:00,"Well said 
#SonbhadraMassacre 
#Chandrayaan2 https://t.co/QLRSCbNHrZ","Chennai, India",0,Twitter for Android
kriti2103,Kriti Gupta,7/20/2019 14:57,India might have missed the opportunity of launching #Chandrayaan2 with the 50th anniversary of #Apollo11 but it should now focus on creating a historic event whose anniversary is celebrated 50 yrs later. #ManOnMoon50th #ISRO,"New Delhi, India",0,Twitter for Android
RKRadhakrishn,RadhakrishnanRK,7/20/2019 14:57,"Aye, @SadhguruJV Jaggi, did you bless this #Chandrayaan2? I hope I get a honest answer, from the Man Who Knows Everything",Chennai,9,Twitter for Android
BeingRajeevK,Rajeev Rajput,7/20/2019 14:36,"All the best @isro 

#Chandrayaan2 https://t.co/WEIIJ0ZTzm",India,1,Twitter for iPhone
sagarparte5,Sagar Parte,7/20/2019 14:34,"Waiting for chandrayaan 2 launch on Monday 22nd July at 2:43 pm. 
India is set to create history.  @isro
😍
#ISRO #Chandrayaan2 #Indian
#MoonLanding","Mumbai, Maharashtra",0,Twitter for Android
mishasinghal,misha singhal,7/20/2019 14:32,"#Chandrayaan2 is exciting! 
Understanding our celestial beings is important but so is #climatechange management + #wastemanagement 
We should look to allocate budgets for these two apart from Space! 
Critical Issues for 21st Century!","Mumbai, Maharashtra",0,Twitter Web App
isai_,இசை,7/20/2019 14:11,"With a missed call Jaggi connected all the rivers in India. Now he's gonna shoot the rocket into space with what, Gomutra?! Golden Age of Indian Science! 🥴 #Chandrayaan2 https://t.co/osjZjIzyMm","Anna Nagar, Chennai",22,Twitter for Android
DDNational,Doordarshan National,7/20/2019 14:00,"WATCH -
Curtain Raiser- #GSLVMkIII -M1/#Chandrayaan2 Mission - #ISRO TONIGHT at 8:25 pm on @DDNational
 
#Chandrayaan @isro https://t.co/8X8ZVN8x79",New Delhi,8,TweetDeck
MrPoll8,Mr.Poll,7/20/2019 13:58,How many of you are interested in booking for viewers gallery of #ISRO #Chandrayaan2 we'll if you are interested then here is the registration link: https://t.co/BLDu2F1K0t,India,0,Twitter for Android
LakshyaScience,Lakshya Science Academy,7/20/2019 13:54,"The vehicle was launched by #ISRO on July 18, 1980. Former President A P J #AbdulKalam was the Project Director of #SLV3. The SLV-3 weighed 17 tonne and had a payload of 40 kg. The SLV-3 put 35 kg Rohini Satellite into the orbit.

@LakshyaScience 
#MissionMangal #Chandrayaan2 https://t.co/uh5QWOqras","Mumbai, India",0,Twitter Web Client
RKRadhakrishn,RadhakrishnanRK,7/20/2019 13:53,Lol. Did this joke do the Pooja ahead of #Chandrayaan2? https://t.co/Tu7HKcfYpD,Chennai,29,Twitter for Android
TheFederal_in,The Federal,7/20/2019 13:51,"Check out our 3D interactive graphic on India's second lunar mission, #Chandrayaan2 here: https://t.co/kr3D93i0uC

#GSLVMkIII #ISRO #TheFederal
https://t.co/XVrAbfJAhV","Chennai, India",2,Twitter Web Client
bjpdilippatel,Dilip Patel 🇮🇳,7/20/2019 13:46,"We are going to the Moon 🌓 

All the Best 

Best wishes to @isro...!

#Chandrayaan2 🚀 https://t.co/p2bBp4rGvt","Anand, India",0,Twitter for iPhone
Astrometech,Astrome Technologies,7/20/2019 13:45,"Chandrayaan-2 is all geared up to put India on the map.
https://t.co/QGDfazPnx6
.
.
#ISROMissions #ISRO #moon #satellite #Chandrayaan2 #chandrayaan #india #mission #pride","Bengaluru, Karnataka",0,TweetDeck
newslaundry,newslaundry,7/20/2019 13:43,"#NLHafta host @AbhinandanSekhr is joined by @MnshaP, @anandvardhan26, and @greatbong. They discuss Richa Bharti's arrest, #TirangaTV, #Chandrayaan2, floods in Assam and Bihar and more.
https://t.co/6J0MLMKFbh",,5,TweetDeck
cHIDs_Mv,〽,7/20/2019 13:40,listen to the NewSpace India podcast 👉https://t.co/0NVUd0k2fC  #Chandrayaan2 #ISRO,,0,Twitter Web App
TrendsIn_India,Trends India,7/20/2019 13:31,"All the best team ISRO, 1.3 billion Indians are with you.🇮🇳
#TrendsIn #Chandrayaan2 https://t.co/KY9O9fDRvr","New Delhi, India",1,Twitter Web App
Buddy4Study,Buddy4Study,7/20/2019 13:03,"Chandrayaan 2 is the second lunar exploration mission. Its is developed by #ISRO and will be launched to moon by   Geosynchronous Satellite Launch Vehicle Mark III. What is the new launch date of Chandrayaan-2? 
a) 20 July
b) 21 July
c) 22 July
d) 23 Jul

#chandrayaan2  #quiz",India,2,Twitter for Android
MARKETTALK2,MARKETTALK,7/20/2019 13:01,#apollo11 The first man on the moon made his mark there 50 years ago. 50 years and 50 hours later #Chandrayaan2 will be ready for the mission to soft land on the moon. #nasa #ISRO,,0,Twitter for Android
rajneesh4n,Rajneesh Agrawal,7/20/2019 12:57,"When the Rover touches down, 🇮🇳India will step into history.

#Chandrayaan2 takes off for the 🌚Moon on Monday.

Watch the take-off on #PIB📺. Tune in Live at 2:15 pm on 🗓️22 July. https://t.co/ZtK92LZEHw",Bhopal,0,Twitter for Android
manilkumar73,anil kumar manikoth🐚,7/20/2019 12:34,"@SadhguruJV @isro I see lot of videos of Sadguru amd I am not happy seeing him in the ISRO control room when we have a crucial mission... Get disciplined #ISRO

#Chandrayaan2",India,0,Twitter for Android
MocomiKids,Mocomi Kids,7/20/2019 12:30,"Earth has earthquakes, Mars has Marsquakes, and yes, the moon has moonquakes!

https://t.co/Q9m2xPhPMJ

#Moonquakes #MoonDay #Chandrayaan2 #MocomiKids https://t.co/WyUYTWygxh",Pune,0,TweetDeck
SpaceKidzIndia,Space Kidz India,7/20/2019 12:22,"Soooperrr proud of TEAM ISRO.. We salute your great effort and look forward to a Historic Launch on Monday...Go ISRO.. GO INDIA ..                                    #Salaam_ISRO - Udaa... Udaa...🚀 
#Chandrayaan2 #ISROMissions

https://t.co/L7JFrJzh8i",Chennai,0,Twitter for Android
